ProductID,Product Name,Product Description,Cost Price,Selling Price,Eat Out Price,Popup Notes,Tax Percentage,Eat Out Tax Percentage,Category Name,Brand Name,Measurement Scheme,Unit Of Sale,Volume Of Sale,Unit Of Purchase, Volume Of Purchase,Barcode,Supplier,OrderCode,RRP,Product Type,Article Code,Tare Weight,Button Colour,Multiple Choice Note Name,Till Order,SKU,Sell On Till,Sell On Web, Is Variable Price, Is Tax Exempt Eligible, Is Excluded From Loyalty Points Gain, Additional Suppliers,Delete Product, Product Tags
3585785,Fat Balls x5,Fat Balls pack of 5,0.33000,0.60000,0.00000,,20.0000,20.0000,BIRD FOOD,WRHS,,,,,,RB002,WRHS,,0.95000,Standard,,,,,,,y,n,n,n,n,,n,
3585786,Bird Seed 1kg,Bird Seed 1kg,0.55200,0.85000,0.00000,,20.0000,20.0000,BIRD FOOD,WRHS,,,,,,RB001,WRHS,,0.00000,Standard,,,,,,,y,n,n,n,n,,n,
3585787,Peanuts for Birds 500g,Peanuts for Birds 500g,1.24875,1.95000,0.00000,,20.0000,20.0000,BIRD FOOD,WRHS,,,,,,800000000132,WRHS,,0.00000,Standard,,,,,,,y,n,n,n,n,,n,
3585789,Frozen Planet By Alastair Fo,Frozen Planet By Alastair Fothergill Vanessa Berlowitz (Hardback 2011),3.44800,2.50000,0.00000,,0.0000,0.0000,EX BOOKS,,,,,,,9781846079627,DO NOT RESTOCK,,0.00000,Standard,,,,,,,n,n,n,n,n,,n,
3585790,Royal Geographical Society I,Royal Geographical Society Illustrated: A Unique Record Of Exploration And Phot,3.44800,2.50000,0.00000,,0.0000,0.0000,EX BOOKS,,,,,,,9780952766513,DO NOT RESTOCK,,0.00000,Standard,,,,,,,n,n,n,n,n,,n,
3585791,Anemone Coronaria De Caen,Anemone Coronaria De Caen,0.10300,0.15000,0.00000,PRICED EACH - COUNT HOW MANY,20.0000,20.0000,BULBS FLOWER,WRHS,,,,,,800000000004,WRHS,,0.00000,Standard,,,,,,,n,n,n,n,n,,n,
3585793,Garlic Vallelado Wight 1 bulb,Garlic Vallelado Wight,0.34500,0.50000,0.00000,PRICED EACH - COUNT HOW MANY,0.0000,0.0000,GARLIC,WRHS,,,,,,BV016#800000000189,Kings Seeds,,0.00000,Standard,,,,,,,n,n,n,n,n,,n,
3585794,6 Cell Tray,6 Cell Tray,0.08200,0.15000,0.00000,,20.0000,20.0000,CELL TRAYS,HSP,,,,,,800000000023,WRHS,,0.00000,Standard,,,,,,,y,n,n,n,n,,n,
3585795,20 Cell Tray,20 Cell Tray,0.10300,0.16000,0.00000,,20.0000,20.0000,CELL TRAYS,HSP,,,,,,800000000014,WRHS,,0.00000,Standard,,,,,,,y,n,n,n,n,,n,
3585796,12 Cell Tray,12 Cell Tray,0.10300,0.16000,0.00000,,20.0000,20.0000,CELL TRAYS,HSP,,,,,,800000000029,WRHS,,0.00000,Standard,,,,,,,y,n,n,n,n,,n,
3585798,Bio Houseplant tablets,Baby Bio Slow Release House Plant Food Tablets,1.86200,2.85000,0.00000,,20.0000,20.0000,HOUSEPLANT FEEDS,BAYER,,,,,,5000371051194,DO NOT RESTOCK,P3197/0006,0.00000,Standard,,,,,16,,y,n,n,n,n,,n,
3585800,Bayer Boltac Greasebands,Bayer Boltac Greasebands,3.47500,5.35000,5.25000,,20.0000,20.0000,TRAPS,BAYER,,,,,,5000371052078,,BYBG05C,6.99000,Standard,,,,,,,y,n,n,n,n,,n,
3585801,Bayer Coolglass GH Shading,Bayer Coolglass Greenhouse Shading 4 x 17g sachets,3.10300,4.80000,0.00000,,20.0000,20.0000,EX GREENHOUSE SUPPLIES,BAYER,,,,,,5000371001571,DO NOT RESTOCK,,0.00000,Standard,,,,,,,n,n,n,n,n,,n,
3585802,Bayer Fruit & Veg x6 sachet,Bayer Fruit & Vegetable Disease Control 6 sachets,4.31000,6.65000,0.00000,,20.0000,20.0000,EX PESTICIDES & REPELLENTS,BAYER,,,,,,5000371053686,DO NOT RESTOCK,,0.00000,Standard,,,,,,,n,n,n,n,n,,n,
3585803,Greenhouse Fly Catcher x7,Bayer Greenhouse Fly Catcher 7 panels,2.89700,4.20000,0.00000,,20.0000,20.0000,TRAPS,BAYER,,,,,,5000371002974,OLD STOCK,p4175.0203,5.99000,Standard,,,,,17,,y,n,n,n,n,,n,
3585804,Bayer Weedkiller x1 sachet,Bayer Superstrength Weedkiller single sachet,0.89700,1.40000,0.00000,,20.0000,20.0000,EX WEED KILLERS,,,,,,,800000000005,REVIEW,D61169,0.00000,Standard,,,,,,,n,n,n,n,n,,n,
3585805,Bayer Weedkiller x12 sachet,Bayer Superstrength Weedkiller 12 sachets,8.27600,12.75000,0.00000,,20.0000,20.0000,WEED KILLERS,BAYER,,,,,,5000371054836,REVIEW,D61169,0.00000,Standard,,,,,,,y,n,n,n,n,,n,
3585806,Bayer Green Cleaner,Bayer Green Cleaner,4.48300,5.00000,0.00000,,20.0000,20.0000,CLEANERS,BAYER,,,,,,5000371053457,DO NOT RESTOCK,,0.00000,Standard,,,,,,,y,n,n,n,n,,n,
3585807,Bayer Multirose 2 Conc 100ml,Bayer Multirose 2 Conc 100ml,4.96600,7.65000,0.00000,,20.0000,20.0000,FUNGICIDES,BAYER,,,,,,5000371054119,DO NOT RESTOCK,D55725,0.00000,Standard,,,,,,,y,n,n,n,n,,n,
3585808,Provado Bug Kill Conc 300ml,Bayer Provado Ultimate Bug Killer Conc 300 ml,4.75900,7.35000,0.00000,,20.0000,20.0000,PESTICIDES,BAYER,,,,,,5000371051781,DO NOT RESTOCK,,0.00000,Standard,,,,,,,y,n,n,n,n,,n,
3585809,Provado Bug Killer 400ml,Bayer Provado Ultimate Bug Killer 400ml,4.82800,7.45000,0.00000,,20.0000,20.0000,PESTICIDES,BAYER,,,,,,5000371054478,DO NOT RESTOCK,,0.00000,Standard,,,,,,,y,n,n,n,n,,n,
3585810,Vine Weevill Killer 400ml,Bayer Provado Vine Weevill Killer 400ml,4.13800,6.40000,0.00000,,20.0000,20.0000,EX PESTICIDES & REPELLENTS,BAYER,,,,,,5000371052917,DO NOT RESTOCK,,0.00000,Standard,,,,,,,n,n,n,n,n,,n,
3585811,Bayer Slug & Snail Killer,Bayer Slug & Snail Killer,4.24800,6.55000,0.00000,,20.0000,20.0000,SLUG & SNAIL CONTROL,BAYER,,,,,,5000371055116,Decco,D70711,8.50000,Standard,,,,,,,y,n,n,n,n,,n,
3585812,Bio Fungus Fighter 1 litre,Bio Fungus Fighter 1 litre,2.03400,3.15000,0.00000,,20.0000,20.0000,FUNGICIDES,BAYER,,,,,,5000371050760,DO NOT RESTOCK,,0.00000,Standard,,,,,,,n,n,n,n,n,,n,
3585813,Brintons Patio Magic 2.5 lit,Brintons Patio Magic 2.5 litre,5.51000,8.50000,0.00000,,20.0000,20.0000,CLEANERS,SCOTTS,,,,,,5060077690066,,D40597,0.00000,Standard,,,,,,,y,n,n,n,n,,n,
