productid,description,page,image,info,show
10247089,Vitax Ring Culture Pots box of 6,,,,0
10247132,Vitax Mulch Mats box of 12,,,,0
10247148,Vitax Mulch Mats x10,Sundries,,,1
10247943,Vitax Q4 Rootmore 250g x6,,,,0
10248901,Oasis small round bowl,Flower Arranging,,,1
10248932,Oasis small round bowl x25,,,,0
10248981,Oasis Dalton bowl x10,,,,0
10249606,Oasis full brick bowl,Flower Arranging,,,1
10249641,Oasis Block Round 6cm wet x72,,,,0
10249696,Oasis Block Round 6cm tall wet,Flower Arranging,,,1
10249791,Oasis Mossing Twine Natural x12,,,,0
10249864,Oasis Mossing Twine Natural 75m,"Wire, Rope and Twine",,,1
10249930,Oasis Poly Ribbon royal blue,,,,0
10249995,Oasis Poly Ribbon royal blue 1m,Flower Arranging,,,1
10250016,Oasis Poly Ribbon purple,,,,0
10250033,Oasis Poly Ribbon silver,,,,0
10250043,Oasis Poly Ribbon purple 1m,Flower Arranging,,,1
10250058,Oasis Poly Ribbon silver 1m,Flower Arranging,,,1
10250126,White Foil Lined Food Bag - 70gsm x500,,,,0
10250145,White Sulphite Bag 175mm x 230mm x1000,,,,0
10318343,Begonia Competition Class 16,,,,0
10360312,Montbretia Mix,Flowering Bulbs,,,1
10360344,Sparaxis tricolor,Flowering Bulbs,,,1
10360381,Acidanthera murielae,Flowering Bulbs,,,1
10360435,Freesia Mix,Flowering Bulbs,,,1
10360448,Incarvillea delavayi,Flowering Bulbs,,,1
10363794,Pumpkin Competition,,,,0
10442235,Non-WRHS Plant 10744.10,10744,,,0
10518521,Pea Shoot Serge 1kg,,,,0
10519146,Runner Bean Scarlet Emperor 2kg,,,,0
10615761,Non-WRHS Plant 10848.01,10848,,,0
10616436,Non-WRHS Plant 10848.02,10848,,,0
10616443,Non-WRHS Plant 10848.03,10848,,,0
10616452,Non-WRHS Plant 10848.04,10848,,,0
10621160,Non-WRHS Plant 10778.03,10778,,,0
10621167,Non-WRHS Plant 10778.04,10778,,,0
10711117,Non-WRHS Plant 10339.01,10339,,,0
10711153,Non-WRHS Plant 10339.02,10339,,,0
10835143,Non-WRHS Plant 10532.01,10532,,,0
10835154,Non-WRHS Plant 10532.02,10532,,,0
10835166,Non-WRHS Plant 10532.03,10532,,,0
10981674,Pea Hurst Green Shaft 50g,"Seeds, vegetable",,,1
11123929,Soil pH Meter,Hardware,,,1
11123993,Indoor can 0.7 litre mixed x10,,,,0
11124043,Briers All Rounder Gloves Green Small x6,,,,0
11124050,Briers All Rounder Gloves Green Large x6,,,,0
11150775,Pea Onward 50g,"Seeds, vegetable",,,1
11155059,Compost Bin 210 litre,Hardware,,,1
11155066,Compost Bin small,Hardware,,,1
11159856,Non-WRHS Plant 10258.11,10258,,,0
11159862,Non-WRHS Plant 10258.12,10258,,,0
11160007,Non-WRHS Plant 10073.05,10073,,,0
11160011,Non-WRHS Plant 10073.04,10073,,,0
11160032,Non-WRHS Plant 10073.06,10073,,,0
11208492,Briers All Rounder Gloves Green Large,Sundries,,,1
11208509,Briers All Rounder Gloves Green Small,Sundries,,,1
11208598,Greenwash Watering Can 10 ltr green x12,,,,0
11218489,Washed Grit - Dumpy Bag,,,,0
11218564,10mm Gravel 6 litre,Compost and growing media,,10p off if you bring your own bag,1
11248415,Non-WRHS Plant 10843.01,10843,,,0
11267269,Non-WRHS Plant 10721.03,10721,,,0
